Module,PROBE_ID
M1.1,ILMN_1712023
M1.1,ILMN_1671486
M1.1,ILMN_1744912
M1.1,ILMN_1733937
M1.1,ILMN_1677814
M1.1,ILMN_1767310
M1.1,ILMN_1719599
M1.1,ILMN_1747650
M1.1,ILMN_1687268
M1.1,ILMN_1690783
M1.1,ILMN_1757237
M1.1,ILMN_1813950
M1.1,ILMN_1757440
M1.1,ILMN_1766182
M1.1,ILMN_1660114
M1.1,ILMN_1693428
M1.1,ILMN_1749403
M1.1,ILMN_1715417
M1.1,ILMN_1717163
M1.1,ILMN_1784203
M1.1,ILMN_1746175
M1.1,ILMN_1691264
M1.1,ILMN_1705686
M1.1,ILMN_1686478
M1.1,ILMN_1663519
M1.1,ILMN_1657683
M1.1,ILMN_1805842
M1.1,ILMN_1752562
M1.1,ILMN_1729208
M1.1,ILMN_1783158
M1.1,ILMN_1680928
M1.1,ILMN_1730487
M1.1,ILMN_1675617
M1.1,ILMN_2201678
M1.1,ILMN_2339835
M1.1,ILMN_1776640
M1.1,ILMN_1705685
M1.1,ILMN_1743290
M1.1,ILMN_1672605
M1.1,ILMN_1762764
M1.1,ILMN_1788955
M1.1,ILMN_1710280
M1.1,ILMN_1721888
M1.1,ILMN_1673548
M1.1,ILMN_1778143
M1.1,ILMN_1769575
M1.1,ILMN_1692177
M1.1,ILMN_1808238
M1.1,ILMN_1715991
M1.1,ILMN_1808590
M1.1,ILMN_1787567
M1.1,ILMN_1760688
M1.1,ILMN_2392189
M1.1,ILMN_1658719
M1.1,ILMN_1675062
M1.1,ILMN_1745522
M1.1,ILMN_1684771
M1.1,ILMN_1768099
M1.1,ILMN_1796755
M1.1,ILMN_1729453
M1.1,ILMN_1707124
M1.1,ILMN_1690733
M1.1,ILMN_1764228
M1.1,ILMN_1732269
M1.1,ILMN_1691507
M1.1,ILMN_1656940
M1.1,ILMN_1668374
M1.1,ILMN_1738589
M1.1,ILMN_2149292
M1.1,ILMN_1668825
M1.1,ILMN_1676973
M1.1,ILMN_1680388
M1.1,ILMN_1713731
M1.1,ILMN_1745103
M1.1,ILMN_1787919
M1.1,ILMN_1837428
M1.1,ILMN_2227011
M1.1,ILMN_1767281
M1.1,ILMN_1691476
M1.1,ILMN_1784948
M1.1,ILMN_1728197
M1.1,ILMN_1796734
M1.1,ILMN_1699022
M1.1,ILMN_1671928
M1.1,ILMN_1810836
M1.1,ILMN_1752755
M1.1,ILMN_1775373
M1.1,ILMN_1782419
M1.1,ILMN_1789627
M1.1,ILMN_1702120
M1.2,ILMN_1656910
M1.2,ILMN_2239754
M1.2,ILMN_2173975
M1.2,ILMN_1848843
M1.2,ILMN_1690241
M1.2,ILMN_2054019
M1.2,ILMN_1674063
M1.2,ILMN_1795181
M1.2,ILMN_2170813
M1.2,ILMN_1729749
M1.2,ILMN_1742618
M1.2,ILMN_1707695
M1.2,ILMN_1662358
M1.2,ILMN_1701789
M1.2,ILMN_1695404
M1.2,ILMN_1663347
M1.2,ILMN_1664543
M1.2,ILMN_1675640
M1.2,ILMN_1658247
M1.2,ILMN_1805750
M1.2,ILMN_1745397
M1.2,ILMN_1653466
M1.2,ILMN_1670305
M1.2,ILMN_1783621
M1.2,ILMN_1683678
M1.2,ILMN_1760062
M1.2,ILMN_2388547
